1,170,161,50,0,1
1,359,549,50,2,1
1,1097,151,50,4,1
1,1140,641,50,6,1
1,876,396,50,8,1
1,1009,330,50,10,1
1,1137,508,50,12,1
1,1026,307,50,14,1
1,884,381,50,16,1
1,366,105,50,18,1
1,83,135,50,20,1
1,901,668,50,22,1
1,1145,459,50,24,1
1,893,636,50,26,1
1,817,459,50,28,1
1,75,582,50,30,1
1,474,580,50,32,1
1,814,150,50,34,1
1,128,77,50,36,1
1,455,452,50,38,1
1,136,178,50,40,1
1,816,312,50,42,1
1,816,122,50,44,1
1,530,529,50,46,1
1,491,627,50,48,1
1,355,308,50,50,1
1,885,297,50,52,1
1,741,388,50,54,1
1,146,84,50,56,1
1,629,623,50,58,1
1,733,137,50,60,1
1,939,333,50,62,1
1,822,504,50,64,1
1,423,245,50,66,1
1,241,409,50,68,1
1,858,367,50,70,1
1,492,463,50,72,1
1,1056,329,50,74,1
1,355,304,50,76,1
1,1062,618,50,78,1
1,686,199,50,80,1
1,608,345,50,82,1
1,265,338,50,84,1
1,1058,566,50,86,1
1,473,288,50,88,1
1,466,368,50,90,1
1,604,450,50,92,1
1,539,320,50,94,1
1,962,173,50,96,1
1,1136,541,50,98,1
